order_id,client_id,product_id,quantity,unit_price,discount,total,status,placed_at
O00001,C0022,P0003,2,637.13,0.00,1274.26,cancelled,2026-05-26T01:23:00Z
O00002,C0029,P0118,2,155.51,0.00,311.02,shipped,2026-03-29T00:32:00Z
O00003,C0025,P0158,2,3951.49,1185.45,6717.53,paid,2026-04-14T12:15:00Z
O00004,C0020,P0169,1,1735.09,173.51,1561.58,paid,2026-01-07T03:54:00Z
O00005,C0026,P0046,1,3948.10,0.00,3948.10,refunded,2026-05-14T11:59:00Z
O00006,C0062,P0295,2,3126.06,0.00,6252.12,shipped,2026-05-29T23:30:00Z
O00007,C0115,P0139,1,614.41,30.72,583.69,refunded,2026-05-25T16:57:00Z
O00008,C0016,P0056,1,159.07,23.86,135.21,shipped,2026-05-27T22:13:00Z
O00009,C0062,P0283,1,3697.51,0.00,3697.51,shipped,2026-03-22T07:46:00Z
O00010,C0115,P0077,1,3900.21,390.02,3510.19,cancelled,2026-02-20T02:00:00Z
O00011,C0107,P0147,2,406.77,0.00,813.54,refunded,2026-02-06T21:46:00Z
O00012,C0094,P0121,1,1602.54,240.38,1362.16,paid,2026-02-26T19:58:00Z
O00013,C0092,P0309,1,53.94,8.09,45.85,shipped,2026-07-12T00:26:00Z
O00014,C0078,P0087,1,1214.59,60.73,1153.86,paid,2026-07-25T05:14:00Z
O00015,C0014,P0106,1,983.49,0.00,983.49,shipped,2026-04-06T16:39:00Z
O00016,C0108,P0334,2,294.27,88.28,500.26,paid,2026-08-22T07:42:00Z
O00017,C0085,P0206,1,332.23,33.22,299.01,paid,2026-08-28T04:20:00Z
O00018,C0022,P0284,1,391.40,39.14,352.26,paid,2026-08-15T19:13:00Z
O00019,C0026,P0332,1,1716.48,0.00,1716.48,shipped,2026-06-07T21:24:00Z
O00020,C0088,P0304,1,2515.44,0.00,2515.44,paid,2026-08-03T10:40:00Z
O00021,C0088,P0062,2,447.71,134.31,761.11,shipped,2026-05-23T03:08:00Z
O00022,C0089,P0152,2,597.03,0.00,1194.06,paid,2026-01-08T16:20:00Z
O00023,C0077,P0185,2,562.43,168.73,956.13,paid,2026-01-30T23:50:00Z
O00024,C0002,P0101,1,2046.70,0.00,2046.70,cancelled,2026-06-09T00:08:00Z
O00025,C0089,P0005,1,2144.83,0.00,2144.83,paid,2026-06-04T13:11:00Z
O00026,C0107,P0277,1,551.75,0.00,551.75,paid,2026-05-20T11:10:00Z
O00027,C0003,P0191,1,365.49,54.82,310.67,shipped,2026-01-01T13:50:00Z
O00028,C0009,P0223,1,3548.38,0.00,3548.38,paid,2026-04-05T20:06:00Z
O00029,C0093,P0159,2,728.06,72.81,1383.31,paid,2026-02-20T02:02:00Z
O00030,C0102,P0275,1,1425.25,71.26,1353.99,shipped,2026-07-04T23:03:00Z
O00031,C0114,P0170,1,1229.36,122.94,1106.42,shipped,2026-07-25T17:52:00Z
O00032,C0026,P0191,1,365.49,0.00,365.49,paid,2026-03-11T14:21:00Z
O00033,C0090,P0111,2,362.38,36.24,688.52,paid,2026-07-15T14:48:00Z
O00034,C0057,P0111,1,362.38,18.12,344.26,paid,2026-06-19T02:52:00Z
O00035,C0077,P0324,1,721.69,0.00,721.69,paid,2026-01-15T08:01:00Z
O00036,C0063,P0164,1,262.83,0.00,262.83,paid,2026-07-06T05:46:00Z
O00037,C0068,P0161,3,583.53,0.00,1750.59,paid,2026-01-29T14:28:00Z
O00038,C0093,P0133,10,1129.66,1129.66,10166.94,paid,2026-08-27T06:41:00Z
O00039,C0026,P0236,1,496.40,74.46,421.94,refunded,2026-08-18T04:51:00Z
O00040,C0089,P0035,2,2794.87,0.00,5589.74,paid,2026-03-28T14:04:00Z
O00041,C0111,P0008,2,607.24,60.72,1153.76,paid,2026-04-05T13:20:00Z
O00042,C0063,P0010,1,510.19,0.00,510.19,refunded,2026-02-01T16:41:00Z
O00043,C0103,P0298,1,833.22,0.00,833.22,shipped,2026-05-10T18:30:00Z
O00044,C0116,P0349,1,1668.38,166.84,1501.54,paid,2026-06-21T03:32:00Z
O00045,C0093,P0190,1,1005.12,100.51,904.61,paid,2026-08-30T02:15:00Z
O00046,C0093,P0214,10,706.67,706.67,6360.03,shipped,2026-06-06T20:33:00Z
O00047,C0013,P0031,1,557.92,55.79,502.13,shipped,2026-06-01T06:11:00Z
O00048,C0093,P0169,1,1735.09,0.00,1735.09,paid,2026-02-22T14:28:00Z
O00049,C0058,P0147,1,406.77,61.02,345.75,paid,2026-03-01T22:30:00Z
O00050,C0030,P0171,1,153.60,7.68,145.92,paid,2026-08-06T17:12:00Z
O00051,C0089,P0126,1,79.76,3.99,75.77,shipped,2026-08-26T14:24:00Z
O00052,C0020,P0148,2,1077.19,215.44,1938.94,paid,2026-04-21T05:14:00Z
O00053,C0012,P0177,1,489.36,48.94,440.42,paid,2026-09-06T11:35:00Z
O00054,C0026,P0198,1,417.17,0.00,417.17,paid,2026-01-07T14:28:00Z
O00055,C0053,P0042,1,2316.92,0.00,2316.92,paid,2026-02-18T15:03:00Z
O00056,C0070,P0308,5,4196.21,3147.16,17833.89,paid,2026-07-07T19:06:00Z
O00057,C0062,P0104,1,810.68,81.07,729.61,paid,2026-01-22T23:27:00Z
O00058,C0083,P0336,1,987.83,0.00,987.83,paid,2026-02-20T03:29:00Z
O00059,C0093,P0122,1,141.63,7.08,134.55,paid,2026-06-01T19:15:00Z
O00060,C0062,P0314,2,760.81,0.00,1521.62,paid,2026-02-20T15:31:00Z
O00061,C0114,P0300,1,142.47,0.00,142.47,cancelled,2026-04-28T02:12:00Z
O00062,C0063,P0168,2,171.44,0.00,342.88,shipped,2026-07-21T15:39:00Z
O00063,C0072,P0274,1,2399.23,0.00,2399.23,refunded,2026-06-01T18:38:00Z
O00064,C0057,P0142,3,478.54,71.78,1363.84,refunded,2026-07-25T16:35:00Z
O00065,C0045,P0007,10,596.15,0.00,5961.50,paid,2026-07-17T20:02:00Z
O00066,C0014,P0145,1,822.74,41.14,781.60,refunded,2026-07-27T00:53:00Z
O00067,C0105,P0320,2,599.87,179.96,1019.78,shipped,2026-07-07T11:15:00Z
O00068,C0105,P0162,1,176.90,8.85,168.05,shipped,2026-01-03T20:49:00Z
O00069,C0026,P0309,1,53.94,0.00,53.94,cancelled,2026-03-21T11:00:00Z
O00070,C0096,P0067,3,323.71,48.56,922.57,shipped,2026-07-17T02:49:00Z
O00071,C0089,P0149,1,84.72,0.00,84.72,cancelled,2026-02-06T20:21:00Z
O00072,C0022,P0148,1,1077.19,53.86,1023.33,paid,2026-05-06T10:56:00Z
O00073,C0049,P0261,2,202.97,0.00,405.94,paid,2026-05-07T23:43:00Z
O00074,C0013,P0078,1,4193.37,419.34,3774.03,shipped,2026-08-27T11:46:00Z
O00075,C0089,P0312,5,621.10,0.00,3105.50,paid,2026-07-23T20:33:00Z
O00076,C0093,P0260,1,1184.33,118.43,1065.90,paid,2026-07-13T15:47:00Z
O00077,C0093,P0277,1,551.75,55.18,496.57,paid,2026-01-16T19:38:00Z
O00078,C0016,P0094,1,726.28,72.63,653.65,paid,2026-06-27T03:15:00Z
O00079,C0089,P0149,3,84.72,38.12,216.04,paid,2026-05-13T04:44:00Z
O00080,C0110,P0070,1,296.47,14.82,281.65,paid,2026-05-04T21:25:00Z
O00081,C0107,P0184,1,292.38,0.00,292.38,paid,2026-01-27T04:33:00Z
O00082,C0044,P0337,1,3658.89,548.83,3110.06,refunded,2026-05-04T00:35:00Z
O00083,C0107,P0041,1,144.88,0.00,144.88,shipped,2026-07-01T09:06:00Z
O00084,C0112,P0053,1,21.23,1.06,20.17,paid,2026-06-10T00:41:00Z
O00085,C0010,P0192,1,458.93,68.84,390.09,paid,2026-02-17T04:01:00Z
O00086,C0040,P0011,2,833.67,0.00,1667.34,cancelled,2026-05-27T21:37:00Z
O00087,C0005,P0167,1,384.25,0.00,384.25,shipped,2026-08-20T15:50:00Z
O00088,C0003,P0300,3,142.47,42.74,384.67,cancelled,2026-04-27T08:06:00Z
O00089,C0022,P0291,1,1270.41,0.00,1270.41,paid,2026-06-25T23:11:00Z
O00090,C0093,P0110,1,260.71,0.00,260.71,paid,2026-03-16T05:11:00Z
O00091,C0051,P0044,1,1661.84,249.28,1412.56,paid,2026-02-03T23:51:00Z
O00092,C0063,P0254,1,1500.55,0.00,1500.55,cancelled,2026-06-23T17:02:00Z
O00093,C0060,P0067,1,323.71,16.19,307.52,shipped,2026-07-14T20:11:00Z
O00094,C0119,P0291,1,1270.41,127.04,1143.37,cancelled,2026-06-15T15:31:00Z
O00095,C0016,P0161,2,583.53,116.71,1050.35,shipped,2026-08-10T05:33:00Z
O00096,C0070,P0066,1,700.82,35.04,665.78,paid,2026-03-31T09:29:00Z
O00097,C0081,P0061,1,142.91,7.15,135.76,cancelled,2026-06-18T06:12:00Z
O00098,C0105,P0334,1,294.27,14.71,279.56,paid,2026-03-16T21:36:00Z
O00099,C0093,P0254,1,1500.55,150.06,1350.49,paid,2026-05-23T16:15:00Z
O00100,C0033,P0222,1,377.01,18.85,358.16,paid,2026-01-14T04:30:00Z
O00101,C0098,P0173,1,263.05,0.00,263.05,shipped,2026-06-04T10:07:00Z
O00102,C0094,P0259,1,2479.90,0.00,2479.90,cancelled,2026-08-13T21:54:00Z
O00103,C0089,P0070,1,296.47,0.00,296.47,cancelled,2026-02-11T04:18:00Z
O00104,C0025,P0297,2,154.65,0.00,309.30,paid,2026-06-17T03:03:00Z
O00105,C0042,P0257,2,514.51,154.35,874.67,paid,2026-05-10T05:41:00Z
O00106,C0049,P0249,1,1129.27,112.93,1016.34,paid,2026-07-31T19:45:00Z
O00107,C0060,P0152,1,597.03,0.00,597.03,refunded,2026-08-09T04:45:00Z
O00108,C0065,P0132,1,1390.69,208.60,1182.09,paid,2026-07-08T18:41:00Z
O00109,C0003,P0051,2,3560.72,0.00,7121.44,paid,2026-07-20T16:22:00Z
O00110,C0057,P0245,2,673.58,0.00,1347.16,paid,2026-07-07T04:29:00Z
O00111,C0047,P0257,1,514.51,0.00,514.51,refunded,2026-02-04T05:53:00Z
O00112,C0117,P0050,1,246.81,0.00,246.81,paid,2026-07-16T09:21:00Z
O00113,C0083,P0225,1,104.21,0.00,104.21,paid,2026-05-02T11:41:00Z
O00114,C0117,P0006,1,319.64,0.00,319.64,paid,2026-02-11T18:30:00Z
O00115,C0049,P0254,1,1500.55,0.00,1500.55,paid,2026-07-03T10:19:00Z
O00116,C0003,P0200,2,657.30,131.46,1183.14,paid,2026-02-08T07:43:00Z
O00117,C0106,P0008,1,607.24,0.00,607.24,cancelled,2026-04-22T16:48:00Z
O00118,C0111,P0003,1,637.13,0.00,637.13,refunded,2026-06-21T16:31:00Z
O00119,C0057,P0112,1,1392.08,0.00,1392.08,paid,2026-07-01T04:24:00Z
O00120,C0093,P0072,1,1066.28,53.31,1012.97,paid,2026-07-16T16:03:00Z
O00121,C0092,P0032,1,1367.12,0.00,1367.12,shipped,2026-08-17T09:36:00Z
O00122,C0016,P0308,2,4196.21,419.62,7972.80,shipped,2026-07-20T12:54:00Z
O00123,C0052,P0185,1,562.43,0.00,562.43,shipped,2026-07-24T19:01:00Z
O00124,C0002,P0329,2,611.64,0.00,1223.28,paid,2026-06-01T20:31:00Z
O00125,C0063,P0150,1,830.88,0.00,830.88,shipped,2026-01-14T03:52:00Z
O00126,C0077,P0243,1,1936.47,0.00,1936.47,paid,2026-06-06T01:47:00Z
O00127,C0063,P0298,1,833.22,0.00,833.22,paid,2026-01-18T21:13:00Z
O00128,C0080,P0120,1,3069.79,0.00,3069.79,shipped,2026-01-08T18:07:00Z
O00129,C0108,P0226,1,191.41,9.57,181.84,cancelled,2026-08-26T18:06:00Z
O00130,C0093,P0302,5,479.71,119.93,2278.62,cancelled,2026-03-23T15:37:00Z
O00131,C0113,P0290,1,2317.38,0.00,2317.38,shipped,2026-08-02T14:56:00Z
O00132,C0017,P0244,2,528.69,0.00,1057.38,shipped,2026-01-14T09:38:00Z
O00133,C0088,P0081,1,55.62,0.00,55.62,cancelled,2026-02-19T13:00:00Z
O00134,C0003,P0252,1,59.09,0.00,59.09,shipped,2026-05-04T19:18:00Z
O00135,C0057,P0291,1,1270.41,0.00,1270.41,paid,2026-02-14T09:13:00Z
O00136,C0023,P0006,2,319.64,0.00,639.28,paid,2026-02-08T14:22:00Z
O00137,C0099,P0240,1,1948.60,97.43,1851.17,cancelled,2026-03-18T16:59:00Z
O00138,C0116,P0250,1,518.22,0.00,518.22,paid,2026-06-25T04:20:00Z
O00139,C0077,P0148,1,1077.19,53.86,1023.33,shipped,2026-01-31T15:04:00Z
O00140,C0063,P0001,1,635.44,0.00,635.44,paid,2026-08-14T22:50:00Z
O00141,C0057,P0323,5,1935.36,1451.52,8225.28,cancelled,2026-06-24T11:12:00Z
O00142,C0002,P0025,1,508.38,76.26,432.12,refunded,2026-02-15T19:09:00Z
O00143,C0026,P0061,1,142.91,0.00,142.91,paid,2026-02-03T19:01:00Z
O00144,C0024,P0159,1,728.06,72.81,655.25,shipped,2026-09-08T15:18:00Z
O00145,C0014,P0247,1,437.32,0.00,437.32,paid,2026-05-14T23:56:00Z
O00146,C0010,P0253,2,2051.47,0.00,4102.94,shipped,2026-02-19T10:41:00Z
O00147,C0016,P0270,2,714.58,214.37,1214.79,cancelled,2026-01-01T17:58:00Z
O00148,C0002,P0185,1,562.43,0.00,562.43,paid,2026-07-20T03:52:00Z
O00149,C0119,P0277,1,551.75,27.59,524.16,paid,2026-09-02T15:22:00Z
O00150,C0034,P0147,1,406.77,61.02,345.75,paid,2026-03-28T06:23:00Z
O00151,C0081,P0165,1,85.05,8.51,76.54,paid,2026-03-20T01:44:00Z
O00152,C0004,P0123,1,109.76,10.98,98.78,shipped,2026-02-13T11:02:00Z
O00153,C0003,P0034,1,1167.98,0.00,1167.98,paid,2026-06-01T06:16:00Z
O00154,C0034,P0328,1,493.58,49.36,444.22,cancelled,2026-03-26T12:51:00Z
O00155,C0002,P0116,2,155.74,0.00,311.48,cancelled,2026-01-23T09:50:00Z
O00156,C0096,P0267,1,677.84,33.89,643.95,paid,2026-07-29T19:23:00Z
O00157,C0047,P0237,1,1192.10,0.00,1192.10,refunded,2026-08-16T15:36:00Z
O00158,C0053,P0156,1,324.86,16.24,308.62,paid,2026-05-23T00:09:00Z
O00159,C0106,P0204,1,659.07,0.00,659.07,shipped,2026-08-04T19:17:00Z
O00160,C0026,P0017,2,361.68,0.00,723.36,shipped,2026-04-19T04:18:00Z
O00161,C0057,P0264,2,255.41,51.08,459.74,paid,2026-02-18T16:09:00Z
O00162,C0117,P0274,1,2399.23,0.00,2399.23,shipped,2026-09-06T04:00:00Z
O00163,C0028,P0153,2,413.75,0.00,827.50,shipped,2026-04-08T20:15:00Z
O00164,C0063,P0153,2,413.75,82.75,744.75,paid,2026-05-30T12:33:00Z
O00165,C0089,P0168,1,171.44,0.00,171.44,paid,2026-04-11T08:11:00Z
O00166,C0037,P0045,1,883.73,132.56,751.17,shipped,2026-06-20T17:53:00Z
O00167,C0001,P0192,1,458.93,0.00,458.93,shipped,2026-07-12T03:26:00Z
O00168,C0075,P0276,1,2553.26,0.00,2553.26,shipped,2026-08-15T14:46:00Z
O00169,C0105,P0018,2,100.25,0.00,200.50,paid,2026-01-13T19:28:00Z
O00170,C0110,P0288,2,784.08,78.41,1489.75,paid,2026-04-06T19:56:00Z
O00171,C0016,P0094,1,726.28,108.94,617.34,refunded,2026-08-11T22:54:00Z
O00172,C0113,P0057,1,1088.12,0.00,1088.12,refunded,2026-01-28T23:19:00Z
O00173,C0102,P0085,1,1143.01,57.15,1085.86,cancelled,2026-06-12T19:42:00Z
O00174,C0109,P0118,1,155.51,23.33,132.18,paid,2026-05-25T03:03:00Z
O00175,C0015,P0316,1,568.41,85.26,483.15,paid,2026-05-25T00:01:00Z
O00176,C0034,P0292,1,936.12,0.00,936.12,shipped,2026-01-02T05:27:00Z
O00177,C0057,P0087,1,1214.59,60.73,1153.86,shipped,2026-07-17T20:12:00Z
O00178,C0024,P0091,2,3947.69,789.54,7105.84,paid,2026-04-09T18:28:00Z
O00179,C0005,P0074,1,79.96,11.99,67.97,paid,2026-08-04T10:05:00Z
O00180,C0056,P0048,1,2799.38,279.94,2519.44,shipped,2026-02-12T13:34:00Z
O00181,C0039,P0251,1,1499.45,0.00,1499.45,paid,2026-09-07T09:56:00Z
O00182,C0057,P0339,1,1322.78,0.00,1322.78,paid,2026-03-02T19:29:00Z
O00183,C0063,P0073,1,344.88,0.00,344.88,paid,2026-01-14T08:27:00Z
O00184,C0097,P0247,2,437.32,0.00,874.64,shipped,2026-01-07T06:42:00Z
O00185,C0063,P0288,1,784.08,0.00,784.08,paid,2026-07-07T00:10:00Z
O00186,C0089,P0036,3,1603.43,0.00,4810.29,shipped,2026-04-03T22:45:00Z
O00187,C0086,P0217,2,387.99,116.40,659.58,cancelled,2026-05-12T21:04:00Z
O00188,C0029,P0199,2,1194.58,0.00,2389.16,shipped,2026-02-16T07:49:00Z
O00189,C0088,P0286,1,892.87,0.00,892.87,paid,2026-03-27T21:41:00Z
O00190,C0096,P0017,1,361.68,36.17,325.51,paid,2026-02-19T05:41:00Z
O00191,C0093,P0115,1,2853.84,285.38,2568.46,shipped,2026-03-26T00:59:00Z
O00192,C0016,P0138,1,89.48,8.95,80.53,paid,2026-01-31T15:23:00Z
O00193,C0052,P0013,10,2871.21,4306.81,24405.29,cancelled,2026-02-27T20:56:00Z
O00194,C0093,P0187,2,2474.46,0.00,4948.92,refunded,2026-07-24T04:46:00Z
O00195,C0057,P0067,1,323.71,0.00,323.71,paid,2026-05-26T15:15:00Z
O00196,C0062,P0181,1,395.46,39.55,355.91,paid,2026-06-12T08:15:00Z
O00197,C0111,P0270,5,714.58,178.65,3394.25,paid,2026-09-02T02:25:00Z
O00198,C0120,P0303,5,1424.67,712.34,6411.01,refunded,2026-08-13T10:46:00Z
O00199,C0026,P0333,2,4331.35,866.27,7796.43,paid,2026-03-26T20:12:00Z
O00200,C0002,P0177,2,489.36,48.94,929.78,paid,2026-04-19T18:01:00Z
O00201,C0085,P0041,1,144.88,21.73,123.15,paid,2026-05-11T01:38:00Z
O00202,C0058,P0043,1,102.15,0.00,102.15,cancelled,2026-02-28T19:31:00Z
O00203,C0093,P0227,10,1513.40,2270.10,12863.90,paid,2026-08-02T02:56:00Z
O00204,C0049,P0148,2,1077.19,323.16,1831.22,shipped,2026-02-02T21:32:00Z
O00205,C0056,P0326,1,502.82,50.28,452.54,paid,2026-05-13T00:59:00Z
O00206,C0096,P0132,2,1390.69,0.00,2781.38,shipped,2026-05-15T01:48:00Z
O00207,C0062,P0147,3,406.77,0.00,1220.31,paid,2026-04-14T06:52:00Z
O00208,C0089,P0208,1,2407.38,120.37,2287.01,refunded,2026-02-05T08:27:00Z
O00209,C0065,P0075,2,3285.72,657.14,5914.30,paid,2026-03-17T05:17:00Z
O00210,C0059,P0337,1,3658.89,548.83,3110.06,refunded,2026-02-10T23:21:00Z
O00211,C0063,P0326,1,502.82,0.00,502.82,cancelled,2026-04-11T20:04:00Z
O00212,C0010,P0066,1,700.82,70.08,630.74,paid,2026-02-20T10:01:00Z
O00213,C0062,P0012,2,285.57,0.00,571.14,shipped,2026-02-04T04:01:00Z
O00214,C0009,P0283,2,3697.51,369.75,7025.27,refunded,2026-06-23T11:02:00Z
O00215,C0093,P0239,2,873.11,261.93,1484.29,shipped,2026-04-04T02:22:00Z
O00216,C0026,P0048,1,2799.38,279.94,2519.44,shipped,2026-07-18T20:23:00Z
O00217,C0093,P0086,1,1884.54,188.45,1696.09,shipped,2026-02-13T03:43:00Z
O00218,C0064,P0265,1,100.43,15.06,85.37,paid,2026-01-24T18:01:00Z
O00219,C0030,P0012,1,285.57,0.00,285.57,refunded,2026-01-01T21:50:00Z
O00220,C0066,P0350,2,3212.59,0.00,6425.18,refunded,2026-06-28T14:35:00Z
O00221,C0067,P0192,1,458.93,68.84,390.09,paid,2026-04-20T10:57:00Z
O00222,C0016,P0225,1,104.21,10.42,93.79,cancelled,2026-04-04T20:08:00Z
O00223,C0083,P0238,3,119.64,0.00,358.92,shipped,2026-01-21T04:08:00Z
O00224,C0062,P0214,1,706.67,0.00,706.67,paid,2026-08-25T17:02:00Z
O00225,C0066,P0001,1,635.44,31.77,603.67,refunded,2026-07-04T21:00:00Z
O00226,C0016,P0252,1,59.09,8.86,50.23,shipped,2026-05-08T03:48:00Z
O00227,C0018,P0234,5,1374.41,1030.81,5841.24,paid,2026-08-13T23:16:00Z
O00228,C0103,P0345,2,1902.58,0.00,3805.16,paid,2026-01-01T00:50:00Z
O00229,C0085,P0099,1,589.00,0.00,589.00,paid,2026-08-19T05:43:00Z
O00230,C0107,P0349,1,1668.38,0.00,1668.38,paid,2026-03-10T02:00:00Z
O00231,C0003,P0066,1,700.82,70.08,630.74,paid,2026-09-02T11:02:00Z
O00232,C0006,P0153,3,413.75,0.00,1241.25,cancelled,2026-02-05T07:44:00Z
O00233,C0042,P0190,1,1005.12,50.26,954.86,paid,2026-05-12T23:41:00Z
O00234,C0112,P0258,5,94.24,47.12,424.08,shipped,2026-06-19T18:08:00Z
O00235,C0026,P0001,1,635.44,63.54,571.90,refunded,2026-09-07T13:07:00Z
O00236,C0079,P0301,2,2106.20,0.00,4212.40,refunded,2026-04-07T15:13:00Z
O00237,C0051,P0294,2,1285.94,0.00,2571.88,refunded,2026-05-24T08:55:00Z
O00238,C0093,P0129,1,871.80,0.00,871.80,shipped,2026-03-09T06:12:00Z
O00239,C0038,P0271,1,25.14,0.00,25.14,refunded,2026-06-21T04:21:00Z
O00240,C0003,P0068,2,356.39,0.00,712.78,paid,2026-01-23T07:41:00Z
O00241,C0025,P0347,2,574.76,172.43,977.09,paid,2026-01-20T06:56:00Z
O00242,C0006,P0185,1,562.43,56.24,506.19,paid,2026-07-15T15:46:00Z
O00243,C0073,P0307,2,3198.78,959.63,5437.93,paid,2026-08-09T20:54:00Z
O00244,C0107,P0181,1,395.46,0.00,395.46,cancelled,2026-07-16T20:04:00Z
O00245,C0109,P0155,2,392.99,78.60,707.38,refunded,2026-05-25T08:47:00Z
O00246,C0004,P0135,1,1618.80,161.88,1456.92,shipped,2026-01-13T15:52:00Z
O00247,C0095,P0278,1,3659.25,182.96,3476.29,shipped,2026-04-08T20:00:00Z
O00248,C0026,P0035,1,2794.87,139.74,2655.13,shipped,2026-05-25T14:36:00Z
O00249,C0099,P0007,1,596.15,0.00,596.15,refunded,2026-05-29T11:55:00Z
O00250,C0088,P0085,2,1143.01,0.00,2286.02,paid,2026-03-17T02:48:00Z
O00251,C0058,P0003,1,637.13,95.57,541.56,shipped,2026-05-20T08:13:00Z
O00252,C0103,P0151,1,110.07,5.50,104.57,paid,2026-04-15T00:19:00Z
O00253,C0062,P0254,1,1500.55,75.03,1425.52,paid,2026-05-16T11:22:00Z
O00254,C0097,P0300,1,142.47,0.00,142.47,paid,2026-01-21T02:52:00Z
O00255,C0001,P0014,1,3394.05,169.70,3224.35,paid,2026-01-29T10:09:00Z
O00256,C0092,P0175,2,297.41,29.74,565.08,paid,2026-05-04T12:26:00Z
O00257,C0045,P0336,1,987.83,98.78,889.05,refunded,2026-07-21T08:39:00Z
O00258,C0102,P0211,1,107.36,0.00,107.36,shipped,2026-03-16T18:07:00Z
O00259,C0117,P0052,1,2024.64,0.00,2024.64,cancelled,2026-04-09T23:36:00Z
O00260,C0069,P0033,1,1051.73,157.76,893.97,shipped,2026-05-01T03:36:00Z
O00261,C0107,P0322,3,270.29,40.54,770.33,paid,2026-02-12T14:41:00Z
O00262,C0103,P0085,1,1143.01,0.00,1143.01,shipped,2026-02-07T02:17:00Z
O00263,C0016,P0018,1,100.25,0.00,100.25,paid,2026-04-27T03:23:00Z
O00264,C0008,P0224,1,4700.87,470.09,4230.78,shipped,2026-02-18T12:24:00Z
O00265,C0107,P0152,1,597.03,89.55,507.48,paid,2026-04-09T16:44:00Z
O00266,C0072,P0288,1,784.08,0.00,784.08,cancelled,2026-03-25T21:08:00Z
O00267,C0063,P0158,1,3951.49,0.00,3951.49,cancelled,2026-07-27T15:18:00Z
O00268,C0052,P0015,1,691.75,0.00,691.75,shipped,2026-08-11T05:11:00Z
O00269,C0063,P0224,3,4700.87,0.00,14102.61,refunded,2026-05-27T23:49:00Z
O00270,C0117,P0183,1,463.18,0.00,463.18,paid,2026-07-13T01:48:00Z
O00271,C0059,P0183,2,463.18,0.00,926.36,paid,2026-09-08T14:32:00Z
O00272,C0071,P0247,1,437.32,0.00,437.32,paid,2026-09-05T22:24:00Z
O00273,C0009,P0152,1,597.03,0.00,597.03,shipped,2026-09-04T12:13:00Z
O00274,C0082,P0276,2,2553.26,765.98,4340.54,paid,2026-04-28T10:58:00Z
O00275,C0057,P0097,1,838.95,41.95,797.00,paid,2026-06-23T13:03:00Z
O00276,C0093,P0262,1,202.68,0.00,202.68,refunded,2026-02-23T02:11:00Z
O00277,C0062,P0294,1,1285.94,128.59,1157.35,refunded,2026-03-25T11:26:00Z
O00278,C0009,P0179,3,4631.70,0.00,13895.10,paid,2026-07-15T22:29:00Z
O00279,C0044,P0110,1,260.71,0.00,260.71,paid,2026-06-03T10:52:00Z
O00280,C0026,P0068,1,356.39,0.00,356.39,paid,2026-01-19T00:53:00Z
O00281,C0003,P0311,1,1714.95,171.50,1543.45,paid,2026-01-04T11:34:00Z
O00282,C0002,P0203,2,1722.29,172.23,3272.35,shipped,2026-01-30T09:51:00Z
O00283,C0063,P0036,2,1603.43,320.69,2886.17,paid,2026-02-24T03:11:00Z
O00284,C0027,P0213,1,1442.42,0.00,1442.42,shipped,2026-03-28T00:25:00Z
O00285,C0074,P0112,2,1392.08,0.00,2784.16,paid,2026-09-02T06:58:00Z
O00286,C0029,P0179,2,4631.70,0.00,9263.40,paid,2026-02-26T05:01:00Z
O00287,C0002,P0188,1,47.94,4.79,43.15,refunded,2026-06-29T03:38:00Z
