product_id,sku,name,category,unit_price,in_stock
P0001,MOU-COR-0001,Jade mouse,mouse,635.44,true
P0002,MOU-DEL-0002,Baltic mouse,mouse,519.76,false
P0003,STA-EMB-0003,Aurora stand,stand,637.13,false
P0004,WEB-BAL-0004,Ember webcam,webcam,388.55,true
P0005,DOC-DEL-0005,Delta dock,dock,2144.83,false
P0006,STA-COR-0006,Aurora stand,stand,319.64,true
P0007,WEB-BAL-0007,Jade webcam,webcam,596.15,true
P0008,KEY-EMB-0008,Jade keyboard,keyboard,607.24,true
P0009,CHA-EMB-0009,Delta chair,chair,3157.19,true
P0010,WEB-DEL-0010,Halo webcam,webcam,510.19,true
P0011,WEB-GRA-0011,Aurora webcam,webcam,833.67,false
P0012,WEB-COR-0012,Fjord webcam,webcam,285.57,true
P0013,CHA-DEL-0013,Granito chair,chair,2871.21,true
P0014,MON-JAD-0014,Halo monitor,monitor,3394.05,true
P0015,KEY-DEL-0015,Baltic keyboard,keyboard,691.75,true
P0016,CAB-HAL-0016,Granito cable,cable,55.09,true
P0017,STA-COR-0017,Jade stand,stand,361.68,true
P0018,CAB-ÍGN-0018,Baltic cable,cable,100.25,true
P0019,KEY-HAL-0019,Delta keyboard,keyboard,928.47,false
P0020,MON-AUR-0020,Ígneo monitor,monitor,3114.27,true
P0021,DOC-JAD-0021,Fjord dock,dock,943.75,false
P0022,CHA-AUR-0022,Delta chair,chair,3330.64,false
P0023,MOU-BAL-0023,Halo mouse,mouse,561.60,true
P0024,DOC-COR-0024,Jade dock,dock,711.37,true
P0025,WEB-GRA-0025,Corvo webcam,webcam,508.38,false
P0026,STA-FJO-0026,Corvo stand,stand,429.64,false
P0027,DOC-HAL-0027,Halo dock,dock,1704.90,true
P0028,STA-COR-0028,Ember stand,stand,310.05,true
P0029,DOC-AUR-0029,Baltic dock,dock,1775.16,true
P0030,KEY-JAD-0030,Ember keyboard,keyboard,550.03,true
P0031,HEA-JAD-0031,Fjord headset,headset,557.92,true
P0032,CHA-ÍGN-0032,Corvo chair,chair,1367.12,true
P0033,DOC-COR-0033,Granito dock,dock,1051.73,true
P0034,MIC-FJO-0034,Delta microphone,microphone,1167.98,true
P0035,MON-EMB-0035,Ígneo monitor,monitor,2794.87,true
P0036,DOC-FJO-0036,Corvo dock,dock,1603.43,true
P0037,MIC-COR-0037,Ígneo microphone,microphone,1046.07,false
P0038,KEY-JAD-0038,Baltic keyboard,keyboard,218.26,true
P0039,MOU-ÍGN-0039,Baltic mouse,mouse,296.90,true
P0040,DOC-AUR-0040,Halo dock,dock,1183.80,false
P0041,MOU-DEL-0041,Fjord mouse,mouse,144.88,true
P0042,MIC-COR-0042,Granito microphone,microphone,2316.92,false
P0043,CAB-AUR-0043,Granito cable,cable,102.15,false
P0044,HEA-DEL-0044,Aurora headset,headset,1661.84,true
P0045,WEB-BAL-0045,Delta webcam,webcam,883.73,false
P0046,CHA-GRA-0046,Fjord chair,chair,3948.10,true
P0047,WEB-JAD-0047,Corvo webcam,webcam,700.33,true
P0048,MON-GRA-0048,Granito monitor,monitor,2799.38,true
P0049,KEY-JAD-0049,Baltic keyboard,keyboard,573.69,true
P0050,HEA-GRA-0050,Granito headset,headset,246.81,false
P0051,MON-DEL-0051,Granito monitor,monitor,3560.72,false
P0052,DOC-BAL-0052,Delta dock,dock,2024.64,true
P0053,CAB-COR-0053,Jade cable,cable,21.23,true
P0054,HEA-JAD-0054,Baltic headset,headset,1188.86,true
P0055,WEB-JAD-0055,Baltic webcam,webcam,515.72,true
P0056,CAB-JAD-0056,Jade cable,cable,159.07,true
P0057,MIC-GRA-0057,Fjord microphone,microphone,1088.12,false
P0058,CHA-ÍGN-0058,Ígneo chair,chair,3632.97,true
